trainepoch_precision
36.6875
55.175
64.65
71.1
75.0825
77.77
79.705
81.3575
81.9075
83.0975
83.7875
84.355
84.935
85.2525
85.61
85.8775
85.9925
86.4925
86.82
87.125
87.3025
87.2425
87.405
87.7025
87.9775
88.1375
87.8625
88.18
88.0775
88.2525
88.2675
88.485
88.295
88.5175
88.82
88.545
88.535
88.6975
88.8725
88.7375
88.7625
88.9725
88.9825
88.7475
89.035
89.1
89.0875
89.2
89.07
89.1425
89.25
89.1925
89.275
89.185
89.295
89.2625
89.46
89.4
89.475
89.355
89.48
89.4225
89.775
89.375
89.5625
89.6075
89.4325
89.6
89.4725
89.745
89.465
89.47
89.83
89.5875
89.65
89.545
89.3775
89.705
89.775
89.495
89.75
89.5075
89.47
89.67
89.5725
89.51
89.8725
89.845
89.9275
89.81
89.8525
89.5775
89.935
89.9175
89.965
89.4325
89.91
89.915
89.57
89.7425
89.995
89.8475
90.0075
89.75
90.2375
89.8625
89.825
89.715
89.8525
89.8975
89.93
89.9025
90.07
90.0575
89.98
89.9675
89.8525
90.255
89.975
90.0425
95.255
96.88
97.4325
97.5675
97.99
98.09
98.34
98.2625
98.2975
98.33
98.4475
98.325
98.015
98.0625
98.1225
98.125
97.805
97.7725
97.895
97.825
97.8775
97.295
97.78
97.485
97.56
97.5075
97.51
97.3725
97.5525
97.7225
97.4675
97.42
97.43
97.6425
97.435
97.6475
97.7625
97.3125
97.625
97.6775
99.2225
99.6375
99.78
99.8275
99.86
99.9125
99.93
99.9425
99.9425
99.9575
99.945
99.9625
99.9575
99.9625
99.9775
99.96
99.9675
99.985
99.9775
99.975
99.9875
99.9925
99.9875
99.9775
99.995
99.9825
99.9875
99.975
99.995
99.9875
99.995
99.9875
99.9875
99.9925
99.9975
99.995
99.9975
99.9775
99.995
99.9925
99.9975
99.9875
99.9925
99.9975
99.9975
99.9925
99.99
99.9975
99.9925
99.995
99.995
99.995
99.9975
99.9975
99.995
99.9975
99.995
99.9975
100.0
99.9925
99.9975
99.995
99.995
99.995
99.9975
100.0
99.9975
99.995
99.9975
99.9975
99.9975
99.9975
100.0
99.995
99.9925
99.9975
99.9925
100.0
100.0
99.9975
100.0
100.0
100.0
100.0
99.9975
100.0
100.0
99.9975
99.9975
99.995
99.9975
99.9975
100.0
100.0
99.9975
99.9975
99.9925
100.0
99.9975
100.0
100.0
99.9975
100.0
99.9975
100.0
99.9975
100.0
99.9975
99.995
99.995
99.9975
100.0
100.0
99.9975
100.0
100.0
100.0
100.0
99.9975
100.0
100.0
99.9925
99.995
99.9975
100.0
100.0
99.9975
100.0
100.0
100.0
99.9975
99.9925
100.0
100.0
100.0
100.0
99.9975
100.0
99.995
100.0
