devepoch_precision
23.84
33.05
37.19
43.91
44.92
46.08
57.07
64.8
58.3
69.46
72.2
69.73
75.45
77.77
76.64
74.12
66.9
80.78
80.27
78.32
80.33
81.51
79.93
77.45
82.17
82.15
83.37
82.62
83.43
79.74
83.11
81.43
84.38
84.8
83.03
81.46
82.93
82.39
80.6
83.25
86.65
81.69
81.6
84.98
82.5
82.18
82.47
81.3
84.82
82.3
82.85
82.27
82.37
85.16
81.41
76.21
85.82
83.34
87.75
84.49
84.71
85.56
85.05
80.94
84.06
83.99
84.39
84.15
81.22
80.15
85.73
81.32
83.06
84.64
84.65
85.57
84.25
84.81
83.65
79.45
87.15
85.0
84.85
85.84
82.75
81.06
85.56
82.49
86.26
82.84
80.61
83.21
77.71
82.2
86.62
84.69
85.09
79.33
86.51
82.27
88.18
85.15
86.67
86.03
82.16
83.61
84.72
85.92
85.86
82.23
86.94
86.58
83.86
83.48
86.3
79.41
83.37
86.12
85.1
83.33
92.92
93.54
93.64
93.7
93.39
92.76
93.24
92.64
92.49
92.74
92.56
93.06
92.38
91.93
92.53
92.64
91.01
91.14
91.99
91.82
91.31
90.83
91.86
92.11
91.39
91.68
91.0
91.67
92.01
92.65
91.32
91.87
91.7
92.29
90.94
91.15
91.68
89.05
91.97
91.89
93.97
94.18
94.32
94.49
94.41
94.69
94.41
94.61
94.51
94.54
94.66
94.66
94.43
94.57
94.69
94.51
94.75
94.96
94.66
94.72
94.72
94.78
94.65
94.76
94.77
94.61
94.69
94.43
94.63
94.67
94.67
94.73
94.69
94.75
94.82
94.82
94.49
94.65
94.73
94.41
94.44
94.62
94.58
94.61
94.57
94.63
94.77
94.72
94.73
94.61
94.77
94.68
94.75
94.79
94.84
94.83
94.79
94.94
94.96
94.79
94.77
94.95
94.82
94.91
94.96
95.0
94.94
94.74
94.88
94.92
94.97
94.87
94.92
94.96
94.92
94.84
94.89
94.94
94.94
94.86
94.86
94.98
94.94
94.91
95.04
94.97
94.92
94.96
95.02
94.84
94.97
94.89
94.97
95.0
94.99
94.98
94.99
95.03
95.07
94.89
94.98
95.05
94.84
94.91
94.95
94.91
94.85
94.89
94.91
94.95
94.95
94.97
95.0
94.94
94.99
94.94
94.91
95.01
95.07
94.98
95.02
94.99
94.95
94.96
94.93
94.99
94.93
95.01
94.97
94.99
95.06
94.99
94.96
95.02
94.94
94.91
95.04
94.91
95.04
94.9
